Taxa,/N/dc2/scratch/hleffler/kraken_report/SRR9649760_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649757_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649758_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649759_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649755_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649754_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649756_kraken_report
Azonexaceae,833, 1083, 882, 829, 776, 671, 944
Bdellovibrionaceae,2201, 1047, 2361, 2470, 1139, 589, 2079
Halobacteriovoraceae,592, 222, 668, 655, 273, 109, 558
Bacteriovoracaceae,173, 130, 204, 139, 156, 82, 117
Silvanigrellaceae,173, 125, 183, 202, 137, 53, 221
Acidithiobacillaceae,2662, 1850, 2879, 2873, 1699, 1108, 2727
Mariprofundaceae,1064, 790, 1114, 966, 642, 425, 1040
Hydrogenophilaceae,370, 349, 380, 441, 304, 232, 479
Streptomycetaceae,107763, 163259, 106636, 95737, 122175, 115501, 130024
Microbacteriaceae,31916, 50567, 32506, 28760, 37460, 36424, 39326
Micrococcaceae,17881, 22789, 18400, 16803, 18863, 15467, 21306
Intrasporangiaceae,7045, 10192, 7160, 6644, 7794, 7293, 9216
Cellulomonadaceae,4461, 6968, 4340, 3963, 5187, 5230, 5565
Dermabacteraceae,3967, 6009, 3993, 3746, 4818, 4223, 4983
Promicromonosporaceae,3653, 6745, 3813, 3199, 4874, 4622, 4600
Brevibacteriaceae,2349, 3350, 2380, 2143, 2655, 2253, 2883
Bogoriellaceae,1585, 2810, 1688, 1494, 2032, 1954, 2009
Dermacoccaceae,1469, 1963, 1477, 1374, 1533, 1430, 1804
Beutenbergiaceae,1203, 1958, 1168, 990, 1529, 1451, 1530
Dermatophilaceae,648, 642, 632, 585, 573, 449, 834
Ruaniaceae,505, 895, 481, 448, 650, 589, 594
Sanguibacteraceae,404, 886, 417, 307, 626, 562, 494
Jonesiaceae,93, 130, 126, 83, 126, 78, 127
Mycobacteriaceae,29135, 42845, 29308, 26846, 31448, 30087, 34365
Nocardiaceae,21811, 33989, 22075, 20314, 24469, 24536, 27310
Corynebacteriaceae,16167, 18293, 16591, 15572, 16028, 12328, 18645
Gordoniaceae,5125, 8175, 5091, 4587, 5956, 5766, 6400
Dietziaceae,1979, 2894, 1972, 1812, 2133, 1963, 2530
Tsukamurellaceae,1789, 2769, 1711, 1505, 1961, 1991, 1914
Segniliparaceae,219, 404, 217, 195, 304, 272, 273
Micromonosporaceae,29355, 42625, 29008, 26874, 31469, 30230, 35461
Pseudonocardiaceae,29246, 47042, 29521, 26278, 34001, 32881, 35818
Nocardioidaceae,16876, 27347, 16790, 15089, 19607, 19787, 21048
Propionibacteriaceae,10613, 13424, 10567, 9874, 11277, 9280, 12896
Streptosporangiaceae,4846, 6989, 4938, 4514, 5219, 4871, 5698
Nocardiopsaceae,4086, 5568, 4022, 3652, 4330, 3857, 4885
Thermomonosporaceae,3632, 5028, 3546, 3433, 3698, 3713, 4160
Actinomycetaceae,9518, 11567, 9654, 8876, 10150, 7807, 11286
Frankiaceae,6052, 9756, 6158, 5301, 6842, 7042, 7555
Bifidobacteriaceae,5754, 5344, 6173, 5341, 5085, 3547, 6294
Jiangellaceae,2828, 4242, 2789, 2558, 3087, 2811, 3417
Geodermatophilaceae,2826, 4404, 2858, 2409, 3316, 3150, 3690
Nakamurellaceae,1702, 2472, 1747, 1698, 1815, 1624, 2090
Glycomycetaceae,1438, 1455, 1510, 1425, 1324, 1055, 1786
Catenulisporaceae,1279, 2054, 1250, 1117, 1484, 1362, 1557
Candidatus Nanopelagicaceae,1191, 570, 1322, 1051, 781, 366, 1028
Kineosporiaceae,828, 1156, 774, 728, 889, 825, 970
Actinopolysporaceae,488, 761, 516, 490, 553, 536, 624
Acidothermaceae,455, 433, 451, 509, 393, 345, 600
Eggerthellaceae,5087, 5066, 5125, 4883, 4860, 3385, 6024
Atopobiaceae,2616, 2952, 2605, 2479, 2875, 2055, 3110
Coriobacteriaceae,1133, 1246, 1179, 1066, 1189, 847, 1560
Rubrobacteraceae,4365, 4163, 4546, 4576, 3577, 2802, 5114
Baekduiaceae,1532, 2360, 1589, 1408, 1719, 1669, 1934
Euzebyaceae,1092, 1777, 1149, 1008, 1380, 1213, 1427
Egibacteraceae,937, 1454, 932, 901, 1101, 1137, 1303
Egicoccaceae,835, 1451, 750, 736, 1064, 1056, 1126
Conexibacteraceae,1467, 2595, 1436, 1202, 1820, 1908, 1749
Acidimicrobiaceae,484, 604, 464, 450, 482, 415, 667
Bacillaceae,47816, 21357, 53982, 52105, 26892, 10989, 44236
Paenibacillaceae,35713, 22993, 39068, 36916, 25893, 13626, 36067
Staphylococcaceae,8065, 3308, 9324, 9376, 4487, 1545, 7992
Planococcaceae,5043, 3102, 5707, 5062, 3790, 1571, 5054
Alicyclobacillaceae,3199, 2940, 3197, 3128, 2750, 1920, 3449
Listeriaceae,1478, 918, 1786, 1717, 1133, 443, 1589
Thermoactinomycetaceae,1380, 1130, 1515, 1368, 1220, 732, 1564
Sporolactobacillaceae,507, 407, 595, 488, 410, 221, 455
Lactobacillaceae,10824, 5854, 12013, 11316, 7252, 3130, 10466
Streptococcaceae,10306, 4840, 11592, 11021, 6474, 2331, 10024
Enterococcaceae,5161, 2079, 6044, 5592, 2683, 993, 4798
Leuconostocaceae,1793, 1228, 1958, 1914, 1643, 611, 1813
Carnobacteriaceae,1608, 759, 1780, 1399, 997, 376, 1268
Aerococcaceae,601, 466, 700, 562, 643, 264, 651
Clostridiaceae,30567, 10406, 34891, 35116, 14723, 5217, 27488
Peptococcaceae,17817, 8988, 20054, 17525, 12740, 4268, 16681
Lachnospiraceae,14159, 5815, 15894, 14598, 7682, 3045, 12939
Ruminococcaceae,6443, 3726, 6990, 6751, 4513, 2149, 6521
Clostridiales Family XVII. Incertae Sedis,3194, 2991, 3188, 3006, 2748, 1991, 3771
Clostridiales Family XIII. Incertae Sedis,1344, 429, 1480, 1674, 568, 283, 1372
Clostridiales Family XVI. Incertae Sedis,842, 515, 996, 874, 811, 228, 939
Hungateiclostridiaceae,3720, 1526, 4171, 4097, 2065, 799, 3314
Peptostreptococcaceae,2803, 1102, 3032, 2831, 1389, 552, 2650
Eubacteriaceae,2521, 1654, 2917, 2775, 2092, 853, 2715
Christensenellaceae,1969, 1154, 2149, 1824, 1293, 724, 1984
Symbiobacteriaceae,1671, 1674, 1780, 1719, 1555, 1129, 2202
Oscillospiraceae,1371, 1099, 1427, 1389, 1258, 657, 1460
Heliobacteriaceae,1179, 690, 1226, 1192, 938, 448, 1270
Syntrophomonadaceae,1063, 714, 1240, 1079, 1055, 362, 1116
Vallitaleaceae,544, 184, 677, 446, 189, 73, 351
Thermoanaerobacteraceae,9335, 3970, 10347, 9506, 5916, 2308, 8628
Thermoanaerobacterales Family III. Incertae Sedis,6573, 1754, 7463, 6677, 2394, 889, 5043
Thermodesulfobiaceae,706, 227, 887, 681, 383, 131, 547
Thermoanaerobacterales Family IV. Incertae Sedis,348, 249, 381, 346, 345, 142, 344
Halanaerobiaceae,3406, 1082, 3756, 4392, 1508, 579, 3333
Halobacteroidaceae,1046, 463, 1159, 1214, 684, 241, 888
Natranaerobiaceae,551, 210, 663, 463, 244, 88, 333
Sporomusaceae,2699, 1526, 3092, 3028, 1943, 817, 2837
Selenomonadaceae,2640, 1785, 2860, 2648, 2059, 1219, 2861
Veillonellaceae,2954, 1554, 3193, 3344, 1950, 912, 3184
Acidaminococcaceae,957, 736, 1132, 851, 950, 388, 873
Peptoniphilaceae,1510, 834, 1734, 1428, 1119, 441, 1456
Tissierellaceae,625, 359, 737, 684, 498, 187, 656
Gottschalkiaceae,266, 147, 302, 253, 209, 60, 219
Limnochordaceae,1995, 1789, 1992, 2043, 1839, 1224, 2590
Erysipelotrichaceae,1678, 831, 1929, 1953, 1068, 434, 1833
Nostocaceae,17244, 3978, 19604, 17793, 4706, 1979, 13339
Rivulariaceae,7986, 2942, 8810, 8259, 3631, 1491, 7288
